"","AF","address","university","department","short_address","postal_code","country"
"9285","Santos, Braulio A.","Natl Inst Amazonian Res INPA, Biol Dynam Forest Fragment Project, CP 478, BR-69011970 Manaus, Amazonas, Brazil.","Natl Inst Amazonian Res INPA"," Biol Dynam Forest Fragment Project"," CP 478, BR-69011970 Manaus, Amazonas, Brazil.","BR-69011970","Brazil"
"9286","Tabarelli, Marcelo","Univ Fed Pernambuco, Dept Bot, BR-50670901 Recife, PE, Brazil.","Univ Fed Pernambuco"," Dept Bot"," BR-50670901 Recife, PE, Brazil.","BR-50670901","Brazil"
"9287","Bentley, Joss",NA,NA,NA,NA,NA,NA
"9288","Dickman, Chris R.","Univ Sydney, Sch Biol Sci, Inst Wildlife Res, Sydney, NSW 2006, Australia.","Univ Sydney"," Sch Biol Sci"," Inst Wildlife Res, Sydney, NSW 2006, Australia.","NSW 2006","Australia"
"9289","Finlayson, Graeme R.","Univ Sydney, Sch Biol Sci, Inst Wildlife Res, Sydney, NSW 2006, Australia.","Univ Sydney"," Sch Biol Sci"," Inst Wildlife Res, Sydney, NSW 2006, Australia.","NSW 2006","Australia"
"9290","Priddel, David","Dept Environm & Climate Change NSW, Hurstville, NSW 2220, Australia.","Dept Environm & Climate Change NSW"," Hurstville"," NSW 2220, Australia.","NSW 2220","Australia"
"9291","Vieira, Emerson M.","Univ Vale Rio dos Sinos, Ctr 2, Lab Ecol Mamiferos, UNISINOS, BR-93022000 Sao Leopoldo, RS, Brazil.","Univ Vale Rio dos Sinos"," Ctr 2"," Lab Ecol Mamiferos, UNISINOS, BR-93022000 Sao Leopoldo, RS, Brazil.","BR-93022000","Brazil"
"9292","Wheeler, Robert","Dept Environm & Climate Change NSW, Hurstville, NSW 2220, Australia.","Dept Environm & Climate Change NSW"," Hurstville"," NSW 2220, Australia.","NSW 2220","Australia"
"9293","Kainer, K. A.","Univ Florida, Sch Forest Resources & Conservat, Gainesville, FL 32611 USA.","Univ Florida"," Sch Forest Resources & Conservat"," Gainesville, FL 32611 USA."," 32611","USA"
"9294","Serrano, R. O. P.","Univ Fed Acre, BR-69915900 Rio Branco, Acre, Brazil.","Univ Fed Acre"," BR-69915900 Rio Branco"," Acre, Brazil.",NA,"Brazil"
"9295","Staudhammer, C. L.","Univ Florida, Sch Forest Resources & Conservat, Gainesville, FL 32611 USA.","Univ Florida"," Sch Forest Resources & Conservat"," Gainesville, FL 32611 USA."," 32611","USA"
"9296","Wadt, L. H. O.","Ctr Pesquisa Agroflorestal Acre Embrapa Acre, BR-69901108 Rio Branco, Acre, Brazil.","Ctr Pesquisa Agroflorestal Acre Embrapa Acre"," BR-69901108 Rio Branco"," Acre, Brazil.",NA,"Brazil"
"9297","Laurance, William F.","Smithsonian Trop Res Inst, Balboa, Ancon, Panama.","Smithsonian Trop Res Inst"," Balboa"," Ancon, Panama.",NA,"Panama"
"9298","Ferraz, Gonccalo","Inst Nacl de Pesquisas da Amazonia, Biol Dynam Forest Fragments Project, BR-69011970 Manaus, Amazonas, Brazil.","Inst Nacl de Pesquisas da Amazonia"," Biol Dynam Forest Fragments Project"," BR-69011970 Manaus, Amazonas, Brazil.","BR-69011970","Brazil"
"9299","Lovejoy, Thomas E.","Inst Nacl de Pesquisas da Amazonia, Biol Dynam Forest Fragments Project, BR-69011970 Manaus, Amazonas, Brazil.","Inst Nacl de Pesquisas da Amazonia"," Biol Dynam Forest Fragments Project"," BR-69011970 Manaus, Amazonas, Brazil.","BR-69011970","Brazil"
"9300","Marinelli, Carlos E.","Secretaria Estado Meio Ambiente & Desenvolvimento, BR-69050030 Manaus, Amazonas, Brazil.","Secretaria Estado Meio Ambiente & Desenvolvimento"," BR-69050030 Manaus"," Amazonas, Brazil.",NA,"Brazil"
"9301","Eaton, Donald P.","Univ Nevada, Program Ecol Evolut & Conservat Biol, Reno, NV 89557 USA.","Univ Nevada"," Program Ecol Evolut & Conservat Biol"," Reno, NV 89557 USA."," 89557","USA"
"9302","Keuroghlian, Alexine","Univ Nevada, Program Ecol Evolut & Conservat Biol, Reno, NV 89557 USA.","Univ Nevada"," Program Ecol Evolut & Conservat Biol"," Reno, NV 89557 USA."," 89557","USA"
"9303","Pizo, Marco Aurelio","Univ Vale Rio dos Sinos, Ctr Ciencias Saude, Programa Posgrad Biol, BR-93022000 Sao Leopoldo, RS, Brazil.","Univ Vale Rio dos Sinos"," Ctr Ciencias Saude"," Programa Posgrad Biol, BR-93022000 Sao Leopoldo, RS, Brazil.","BR-93022000","Brazil"
"9304","Araujo, Marcio Silva","Univ Estadual Campinas, Inst Biol, Programa Posgrad Ecol, BR-13083970 Campinas, SP, Brazil.","Univ Estadual Campinas"," Inst Biol"," Programa Posgrad Ecol, BR-13083970 Campinas, SP, Brazil.","BR-13083970","Brazil"
"9305","Bonato, Vinicius","Centro Reg Univ Espirito Santo do Pinhal, Inst Ciencias Biol, Sao Paulo, Brazil.","Centro Reg Univ Espirito Santo do Pinhal"," Inst Ciencias Biol"," Sao Paulo, Brazil.",NA,"Brazil"
"9306","dos Reis, Sergio Furtado","Univ Estadual Campinas, Inst Biol, Dept Parasitol, BR-13083970 Campinas, SP, Brazil.","Univ Estadual Campinas"," Inst Biol"," Dept Parasitol, BR-13083970 Campinas, SP, Brazil.","BR-13083970","Brazil"
"9307","Martins, Eduardo Guimaraes","Univ Estadual Campinas, Inst Biol, Programa Posgrad Ecol, BR-13083970 Campinas, SP, Brazil.","Univ Estadual Campinas"," Inst Biol"," Programa Posgrad Ecol, BR-13083970 Campinas, SP, Brazil.","BR-13083970","Brazil"
"9308","de Koning, G. H. J.","Univ Gottingen, Inst Soil Sci & Forest Nutr, D-37770 Gottingen, Germany.","Univ Gottingen"," Inst Soil Sci & Forest Nutr"," D-37770 Gottingen, Germany.","D-3777","Germany"
"9309","Kessler, Michael","Albrecht von Haller Inst Plant Sci, Dept Systemat Bot, D-37073 Gottingen, Germany.","Albrecht von Haller Inst Plant Sci"," Dept Systemat Bot"," D-37073 Gottingen, Germany.","D-3707","Germany"
"9310","Klein, Alexandra-Maria","Univ Gottingen, Inst Agroecol, D-37073 Gottingen, Germany.","Univ Gottingen"," Inst Agroecol"," D-37073 Gottingen, Germany.","D-3707","Germany"
"9311","Lozada, Tannya","Univ Gottingen, Inst Agroecol, D-37073 Gottingen, Germany.","Univ Gottingen"," Inst Agroecol"," D-37073 Gottingen, Germany.","D-3707","Germany"
"9312","Tscharntke, Teja","Univ Gottingen, Inst Agroecol, D-37073 Gottingen, Germany.","Univ Gottingen"," Inst Agroecol"," D-37073 Gottingen, Germany.","D-3707","Germany"
"9313","Bini, Luis Mauricio","Univ Fed Goias, ICB, Dept Biol Geral, Goiania, Go, Brazil.","Univ Fed Goias"," ICB"," Dept Biol Geral, Goiania, Go, Brazil.",NA,"Brazil"
"9314","Blamires, Daniel","Univ Fed Goias, ICB, Programa Pos Grad Ciencias Ambientais, Goiania, Go, Brazil.","Univ Fed Goias"," ICB"," Programa Pos Grad Ciencias Ambientais, Goiania, Go, Brazil.",NA,"Brazil"
"9315","Felizola Diniz-Filho, Jose Alexandre","Univ Fed Goias, ICB, Dept Biol Geral, Goiania, Go, Brazil.","Univ Fed Goias"," ICB"," Dept Biol Geral, Goiania, Go, Brazil.",NA,"Brazil"
"9316","Pinto, Miriam Plaza","Univ Fed Goias, ICB, Programa Pos Grad Ecol & Evolucao, Goiania, Go, Brazil.","Univ Fed Goias"," ICB"," Programa Pos Grad Ecol & Evolucao, Goiania, Go, Brazil.",NA,"Brazil"
"9317","Rangel, Thiago Fernando L. V. B.","Univ Fed Goias, ICB, Programa Pos Grad Ecol & Evolucao, Goiania, Go, Brazil.","Univ Fed Goias"," ICB"," Programa Pos Grad Ecol & Evolucao, Goiania, Go, Brazil.",NA,"Brazil"
"9318","de Arellano, Pablo I. Ramirez","Pontificia Univ Catolica Chile, Fac Ciencias Biol, CASEB, Santiago, Chile.","Pontificia Univ Catolica Chile"," Fac Ciencias Biol"," CASEB, Santiago, Chile.",NA,"Chile"
"9319","Marquet, Pablo A.","Pontificia Univ Catolica Chile, Fac Ciencias Biol, CASEB, Santiago, Chile.","Pontificia Univ Catolica Chile"," Fac Ciencias Biol"," CASEB, Santiago, Chile.",NA,"Chile"
"9320","Tognelli, Marcelo F.","Pontificia Univ Catolica Chile, Fac Ciencias Biol, CASEB, Santiago, Chile.","Pontificia Univ Catolica Chile"," Fac Ciencias Biol"," CASEB, Santiago, Chile.",NA,"Chile"
"9321","Biggs, Trent W.","San Diego State Univ, Dept Geog, San Diego, CA 92182 USA.","San Diego State Univ"," Dept Geog"," San Diego, CA 92182 USA."," 92182","USA"
"9322","Dunne, Thomas","Univ Calif Santa Barbara, Donald Bren Sch Environm Sci & Management, Santa Barbara, CA 93106 USA.","Univ Calif Santa Barbara"," Donald Bren Sch Environm Sci & Management"," Santa Barbara, CA 93106 USA."," 93106","USA"
"9323","Matricardi, E.","Estrada Santo Antonio, Secretaria Estado Desenvolvimento Ambiental, BR-78900000 Porto Velho, RO, Brazil.","Estrada Santo Antonio"," Secretaria Estado Desenvolvimento Ambiental"," BR-78900000 Porto Velho, RO, Brazil.","BR-78900000","Brazil"
"9324","Roberts, Dar A.","Univ Calif Santa Barbara, Dept Geog, Santa Barbara, CA 93106 USA.","Univ Calif Santa Barbara"," Dept Geog"," Santa Barbara, CA 93106 USA."," 93106","USA"
"9325","Anaya, Jesus","Univ Medellin, Fac Ingn Ambiental, Medellin, Colombia.","Univ Medellin"," Fac Ingn Ambiental"," Medellin, Colombia.",NA,"Colombia"
"9326","Bastarrika, Aitor","Univ Basque Country, Dept Ingn Topog, Vitoria, Spain.","Univ Basque Country"," Dept Ingn Topog"," Vitoria, Spain.",NA,"Spain"
"9327","Chuvieco, Emilio","Univ Alcala de Henares, Colegios 2, Dept Geog, Alcala De Henares, Spain.","Univ Alcala de Henares"," Colegios 2"," Dept Geog, Alcala De Henares, Spain.",NA,"Spain"
"9328","Cruz, Isabel","CONABIO, Mexico City, DF, Mexico.","CONABIO"," Mexico City"," DF, Mexico.",NA,"Mexico"
"9329","Csiszar, Ivan","Univ Maryland, Dept Geog, College Pk, MD 20742 USA.","Univ Maryland"," Dept Geog"," College Pk, MD 20742 USA."," 20742","USA"
"9330","Del Valle, Hector","Consejo Nacl Invest Cient & Tecn, CENPAT, Puerto Madryn, Argentina.","Consejo Nacl Invest Cient & Tecn"," CENPAT"," Puerto Madryn, Argentina.",NA,"Argentina"
"9331","Di Bella, Carlos","INTA, Inst Clima & Agua, Buenos Aires, DF, Argentina.","INTA"," Inst Clima & Agua"," Buenos Aires, DF, Argentina.",NA,"Argentina"
"9332","Gonzalez-Alonso, Federico","Inst Nacl Invest & Tecnol Agr & Alimentaria, CIFOR, Madrid, Spain.","Inst Nacl Invest & Tecnol Agr & Alimentaria"," CIFOR"," Madrid, Spain.",NA,"Spain"
"9333","Ander Kanpandegi, Jon","INTA, Inst Clima & Agua, Buenos Aires, DF, Argentina.","INTA"," Inst Clima & Agua"," Buenos Aires, DF, Argentina.",NA,"Argentina"
"9334","Libonati, Renata","Inst Nacl Pesquisas Espaciais, Ctr Previsao Tempo & Estudos Climaticos, BR-12201 Sao Jose Dos Campos, Brazil.","Inst Nacl Pesquisas Espaciais"," Ctr Previsao Tempo & Estudos Climaticos"," BR-12201 Sao Jose Dos Campos, Brazil.","BR-12201","Brazil"
"9335","Lopez, Gerardo","CONABIO, Mexico City, DF, Mexico.","CONABIO"," Mexico City"," DF, Mexico.",NA,"Mexico"
"9336","Manzo, Lilia","Univ Nacl Autonoma Mexico, Inst Geog, Mexico City 04510, DF, Mexico.","Univ Nacl Autonoma Mexico"," Inst Geog"," Mexico City 04510, DF, Mexico."," 04510","Mexico"
"9337","Mari, Nicolas","INTA, Inst Clima & Agua, Buenos Aires, DF, Argentina.","INTA"," Inst Clima & Agua"," Buenos Aires, DF, Argentina.",NA,"Argentina"
"9338","Morelli, Fabiano","Inst Nacl Pesquisas Espaciais, Ctr Previsao Tempo & Estudos Climaticos, BR-12201 Sao Jose Dos Campos, Brazil.","Inst Nacl Pesquisas Espaciais"," Ctr Previsao Tempo & Estudos Climaticos"," BR-12201 Sao Jose Dos Campos, Brazil.","BR-12201","Brazil"
"9339","Opazo, Sergio","Univ Magallanes, Escuela Ciencia & Tecnol Agropecuarias, Punta Arenas, Chile.","Univ Magallanes"," Escuela Ciencia & Tecnol Agropecuarias"," Punta Arenas, Chile.",NA,"Chile"
"9340","Setzer, Alberto","Inst Nacl Pesquisas Espaciais, Ctr Previsao Tempo & Estudos Climaticos, BR-12201 Sao Jose Dos Campos, Brazil.","Inst Nacl Pesquisas Espaciais"," Ctr Previsao Tempo & Estudos Climaticos"," BR-12201 Sao Jose Dos Campos, Brazil.","BR-12201","Brazil"
"9341","Sione, Walter","UNLU, Dept Ciencias Basicas, PRODITEL, Lujan, Argentina.","UNLU"," Dept Ciencias Basicas"," PRODITEL, Lujan, Argentina.",NA,"Argentina"
"9342","Castilla, Juan Carlos","Pontificia Univ Catolica Chile, Fac Ciencias Biol, Ctr Estudios Avanzados Ecol & Biodiversidad, Santiago, Chile.","Pontificia Univ Catolica Chile"," Fac Ciencias Biol"," Ctr Estudios Avanzados Ecol & Biodiversidad, Santiago, Chile.",NA,"Chile"
"9343","Gelcich, Stefan","Pontificia Univ Catolica Chile, Fac Ciencias Biol, Ctr Estudios Avanzados Ecol & Biodiversidad, Santiago, Chile.","Pontificia Univ Catolica Chile"," Fac Ciencias Biol"," Ctr Estudios Avanzados Ecol & Biodiversidad, Santiago, Chile.",NA,"Chile"
"9344","Godoy, Natalio","Pontificia Univ Catolica Chile, Fac Ciencias Biol, Ctr Estudios Avanzados Ecol & Biodiversidad, Santiago, Chile.","Pontificia Univ Catolica Chile"," Fac Ciencias Biol"," Ctr Estudios Avanzados Ecol & Biodiversidad, Santiago, Chile.",NA,"Chile"
"9345","Prado, Luis","Pontificia Univ Catolica Chile, Fac Ciencias Biol, Ctr Estudios Avanzados Ecol & Biodiversidad, Santiago, Chile.","Pontificia Univ Catolica Chile"," Fac Ciencias Biol"," Ctr Estudios Avanzados Ecol & Biodiversidad, Santiago, Chile.",NA,"Chile"
"9346","Calderon, Gladys","INEVH, RA-2700 Buenos Aires, DF, Argentina.","INEVH"," RA-2700 Buenos Aires"," DF, Argentina.",NA,"Argentina"
"9347","Lamfri, Mario","Inst Gulich CETT, CONAE, RA-5187 Cordoba, Argentina.","Inst Gulich CETT"," CONAE"," RA-5187 Cordoba, Argentina.","RA-5187","Argentina"
"9348","Polop, Francisco","Univ Nacl Rio Cuarto, Ciencias Nat Dept, RA-5800 Rio Cuarto, Argentina.","Univ Nacl Rio Cuarto"," Ciencias Nat Dept"," RA-5800 Rio Cuarto, Argentina.","RA-5800","Argentina"
"9349","Polop, Jaime","Univ Nacl Rio Cuarto, Ciencias Nat Dept, RA-5800 Rio Cuarto, Argentina.","Univ Nacl Rio Cuarto"," Ciencias Nat Dept"," RA-5800 Rio Cuarto, Argentina.","RA-5800","Argentina"
"9350","Provensal, Cecilia","Univ Nacl Rio Cuarto, Ciencias Nat Dept, RA-5800 Rio Cuarto, Argentina.","Univ Nacl Rio Cuarto"," Ciencias Nat Dept"," RA-5800 Rio Cuarto, Argentina.","RA-5800","Argentina"
"9351","Scavuzzo, Marcelo","Inst Gulich CETT, CONAE, RA-5187 Cordoba, Argentina.","Inst Gulich CETT"," CONAE"," RA-5187 Cordoba, Argentina.","RA-5187","Argentina"
"9352","Calogeropoulos, C.","Concordia Univ, Dept Biol, Montreal, PQ H3G 1M8, Canada.","Concordia Univ"," Dept Biol"," Montreal, PQ H3G 1M8, Canada."," H3G 1M8","Canada"
"9353","Greene, D. F.","Concordia Univ, Dept Geog, Montreal, PQ H3G 1M8, Canada.","Concordia Univ"," Dept Geog"," Montreal, PQ H3G 1M8, Canada."," H3G 1M8","Canada"
"9354","Quesada, M.","Univ Nacl Autonoma Mexico, Ctr Invest Ecosistemas, Morelia 58089, Michoacan, Mexico.","Univ Nacl Autonoma Mexico"," Ctr Invest Ecosistemas"," Morelia 58089, Michoacan, Mexico."," 58089","Mexico"
"9355","Alberti, Juan","Univ Nacl Mar del Plata, FCEyN, Dept Biol, Ecol Lab, Mar Del Plata, Argentina.","Univ Nacl Mar del Plata"," FCEyN"," Dept Biol, Ecol Lab, Mar Del Plata, Argentina.",NA,"Argentina"
"9356","Bertness, Mark","Brown Univ, Dept Ecol & Evolutionary Biol, Providence, RI 02912 USA.","Brown Univ"," Dept Ecol & Evolutionary Biol"," Providence, RI 02912 USA."," 02912","USA"
"9357","Escapa, Mauricio","Univ Nacl Mar del Plata, FCEyN, Dept Biol, Ecol Lab, Mar Del Plata, Argentina.","Univ Nacl Mar del Plata"," FCEyN"," Dept Biol, Ecol Lab, Mar Del Plata, Argentina.",NA,"Argentina"
"9358","Iribarne, Oscar","Univ Nacl Mar del Plata, FCEyN, Dept Biol, Ecol Lab, Mar Del Plata, Argentina.","Univ Nacl Mar del Plata"," FCEyN"," Dept Biol, Ecol Lab, Mar Del Plata, Argentina.",NA,"Argentina"
"9359","Silliman, Brian R.","Univ Florida, Dept Zool, Gainesville, FL 32611 USA.","Univ Florida"," Dept Zool"," Gainesville, FL 32611 USA."," 32611","USA"
"9360","Casavecchia, M. Cristina","Univ Nacl Cordoba, RA-5000 Cordoba, Argentina.","Univ Nacl Cordoba"," RA-5000 Cordoba"," Argentina.",NA,"Argentina"
"9361","Flores-Ivaldi, Emilio E.","Univ Nacl Tucuman, RA-4000 San Miguel De Tucuman, Tucuman, Argentina.","Univ Nacl Tucuman"," RA-4000 San Miguel De Tucuman"," Tucuman, Argentina.",NA,"Argentina"
"9362","Gasparri, N. Ignacio","Univ Nacl Tucuman, RA-4000 San Miguel De Tucuman, Tucuman, Argentina.","Univ Nacl Tucuman"," RA-4000 San Miguel De Tucuman"," Tucuman, Argentina.",NA,"Argentina"
"9363","Grau, H. Ricardo","Univ Nacl Tucuman, RA-4000 San Miguel De Tucuman, Tucuman, Argentina.","Univ Nacl Tucuman"," RA-4000 San Miguel De Tucuman"," Tucuman, Argentina.",NA,"Argentina"
"9364","Gutierrez, Jorgelina","Univ Nacl Tucuman, RA-4000 San Miguel De Tucuman, Tucuman, Argentina.","Univ Nacl Tucuman"," RA-4000 San Miguel De Tucuman"," Tucuman, Argentina.",NA,"Argentina"
"9365","Hernandez, Maria Eugenia","Univ Nacl Tucuman, RA-4000 San Miguel De Tucuman, Tucuman, Argentina.","Univ Nacl Tucuman"," RA-4000 San Miguel De Tucuman"," Tucuman, Argentina.",NA,"Argentina"
"9366","Paolini, Leonardo","Univ Nacl Tucuman, RA-4000 San Miguel De Tucuman, Tucuman, Argentina.","Univ Nacl Tucuman"," RA-4000 San Miguel De Tucuman"," Tucuman, Argentina.",NA,"Argentina"
"9367","Garcia, Milton N.","Smithsonian Trop Res Inst, Balboa 084303092, Panama.","Smithsonian Trop Res Inst"," Balboa 084303092"," Panama.",NA,"Panama"
"9368","Harms, Kyle E.","Smithsonian Trop Res Inst, Balboa 084303092, Panama.","Smithsonian Trop Res Inst"," Balboa 084303092"," Panama.",NA,"Panama"
"9369","Kaspari, Michael","Univ Oklahoma, Dept Zool, EEB Grad Program, Norman, OK 73019 USA.","Univ Oklahoma"," Dept Zool"," EEB Grad Program, Norman, OK 73019 USA."," 73019","USA"
"9370","Santana, Mirna","Univ Wisconsin, Dept Biol Sci, Milwaukee, WI 53201 USA.","Univ Wisconsin"," Dept Biol Sci"," Milwaukee, WI 53201 USA."," 53201","USA"
"9371","Wright, S. Joseph","Smithsonian Trop Res Inst, Balboa 084303092, Panama.","Smithsonian Trop Res Inst"," Balboa 084303092"," Panama.",NA,"Panama"
"9372","Yavitt, Joseph B.","Cornell Univ, Dept Nat Resources, Ithaca, NY 14853 USA.","Cornell Univ"," Dept Nat Resources"," Ithaca, NY 14853 USA."," 14853","USA"
"9373","Lopez-Barrera, Fabiola","Inst Ecol, Dept Ecol Func, Xalapa, Veracruz, Mexico.","Inst Ecol"," Dept Ecol Func"," Xalapa, Veracruz, Mexico.",NA,"Mexico"
"9374","Martinez, M. Luisa","Inst Ecol, Dept Ecol Func, Xalapa, Veracruz, Mexico.","Inst Ecol"," Dept Ecol Func"," Xalapa, Veracruz, Mexico.",NA,"Mexico"
"9375","Guevara, Sergio","Inst Ecol, Xalapa 91070, Veracruz, Mexico.","Inst Ecol"," Xalapa 91070"," Veracruz, Mexico.",NA,"Mexico"
"9376","Laborde, Javier","Inst Ecol, Xalapa 91070, Veracruz, Mexico.","Inst Ecol"," Xalapa 91070"," Veracruz, Mexico.",NA,"Mexico"
"9377","Laborde, Javier","Inst Ecol, Xalapa 91070, Veracruz, Mexico.","Inst Ecol"," Xalapa 91070"," Veracruz, Mexico.",NA,"Mexico"
"9378","Sanchez-Rios, Graciela","Inst Ecol, Xalapa 91070, Veracruz, Mexico.","Inst Ecol"," Xalapa 91070"," Veracruz, Mexico.",NA,"Mexico"
"9379","Castillo-Campos, Gonzalo","Inst Ecol, Dept Sistemat, Xalapa 91070, Veracruz, Mexico.","Inst Ecol"," Dept Sistemat"," Xalapa 91070, Veracruz, Mexico."," 91070","Mexico"
"9380","Martinez, M. Luisa","Inst Ecol, Dept Ecol Func, Xalapa 91070, Veracruz, Mexico.","Inst Ecol"," Dept Ecol Func"," Xalapa 91070, Veracruz, Mexico."," 91070","Mexico"
"9381","Moreno-Casasola, Patricia","Inst Ecol, Dept Ecol Func, Xalapa 91070, Veracruz, Mexico.","Inst Ecol"," Dept Ecol Func"," Xalapa 91070, Veracruz, Mexico."," 91070","Mexico"
"9382","Castillo-Guevara, Citlalli","Univ Popular Autonoma Estado Puebla, Dept Ingn, Programa Ingn Ambiental, Puebla 72160, Mexico.","Univ Popular Autonoma Estado Puebla"," Dept Ingn"," Programa Ingn Ambiental, Puebla 72160, Mexico."," 72160","Mexico"
"9383","Lara, Carlos","Univ Nacl Autonoma Mexico, UAT, Ctr Tlaxcala Biol Conducta, Lab Ecol Conducta, Tlaxcala 90070, Mexico.","Univ Nacl Autonoma Mexico"," UAT"," Ctr Tlaxcala Biol Conducta, Lab Ecol Conducta, Tlaxcala 90070, Mexico."," 90070","Mexico"
"9384","Salinas, Luis","Univ Nacl Autonoma Mexico, UAT, Ctr Tlaxcala Biol Conducta, Lab Ecol Conducta, Tlaxcala 90070, Mexico.","Univ Nacl Autonoma Mexico"," UAT"," Ctr Tlaxcala Biol Conducta, Lab Ecol Conducta, Tlaxcala 90070, Mexico."," 90070","Mexico"
"9385","Torres, Itzel","Univ Nacl Autonoma Mexico, UAT, Ctr Tlaxcala Biol Conducta, Lab Ecol Conducta, Tlaxcala 90070, Mexico.","Univ Nacl Autonoma Mexico"," UAT"," Ctr Tlaxcala Biol Conducta, Lab Ecol Conducta, Tlaxcala 90070, Mexico."," 90070","Mexico"
"9386","Kitzberger, Thomas","Univ Nacl Comahue, Ctr Reg Univ Bariloche, Lab Ecotono, RA-8400 San Carlos De Bariloche, Rio Negro, Argentina.","Univ Nacl Comahue"," Ctr Reg Univ Bariloche"," Lab Ecotono, RA-8400 San Carlos De Bariloche, Rio Negro, Argentina.","RA-8400","Argentina"
"9387","Nunez, Cecilia I.","Univ Nacl Comahue, Ctr Reg Univ Bariloche, Lab Ecotono, RA-8400 San Carlos De Bariloche, Rio Negro, Argentina.","Univ Nacl Comahue"," Ctr Reg Univ Bariloche"," Lab Ecotono, RA-8400 San Carlos De Bariloche, Rio Negro, Argentina.","RA-8400","Argentina"
"9388","Nunez, Martin A.","Univ Tennessee, Dept Ecol & Evolutionary Biol, Knoxville, TN 37996 USA.","Univ Tennessee"," Dept Ecol & Evolutionary Biol"," Knoxville, TN 37996 USA."," 37996","USA"
"9389","Carreira, V. P.","Univ Buenos Aires, Fac Ciencias Exactas & Nat, Dept Ecol Genet & Evoluc, Buenos Aires, DF, Argentina.","Univ Buenos Aires"," Fac Ciencias Exactas & Nat"," Dept Ecol Genet & Evoluc, Buenos Aires, DF, Argentina.",NA,"Argentina"
"9390","Fanara, J. J.","Univ Buenos Aires, Fac Ciencias Exactas & Nat, Dept Ecol Genet & Evoluc, Buenos Aires, DF, Argentina.","Univ Buenos Aires"," Fac Ciencias Exactas & Nat"," Dept Ecol Genet & Evoluc, Buenos Aires, DF, Argentina.",NA,"Argentina"
"9391","Hasson, E.","Univ Buenos Aires, Fac Ciencias Exactas & Nat, Dept Ecol Genet & Evoluc, Buenos Aires, DF, Argentina.","Univ Buenos Aires"," Fac Ciencias Exactas & Nat"," Dept Ecol Genet & Evoluc, Buenos Aires, DF, Argentina.",NA,"Argentina"
"9392","Soto, E. M.","Univ Buenos Aires, Fac Ciencias Exactas & Nat, Dept Ecol Genet & Evoluc, Buenos Aires, DF, Argentina.","Univ Buenos Aires"," Fac Ciencias Exactas & Nat"," Dept Ecol Genet & Evoluc, Buenos Aires, DF, Argentina.",NA,"Argentina"
"9393","Soto, I. M.","Univ Buenos Aires, Fac Ciencias Exactas & Nat, Dept Ecol Genet & Evoluc, Buenos Aires, DF, Argentina.","Univ Buenos Aires"," Fac Ciencias Exactas & Nat"," Dept Ecol Genet & Evoluc, Buenos Aires, DF, Argentina.",NA,"Argentina"
"9394","Fernandes, G. Wilson","Univ Fed Minas Gerais, ICB, Ecol Evolut & Biodivers DBG, BR-30161970 Belo Horizonte, MG, Brazil.","Univ Fed Minas Gerais"," ICB"," Ecol Evolut & Biodivers DBG, BR-30161970 Belo Horizonte, MG, Brazil.","BR-30161970","Brazil"
"9395","Santos, Jean Carlos","Univ Fed Minas Gerais, ICB, Ecol Evolut & Biodivers DBG, BR-30161970 Belo Horizonte, MG, Brazil.","Univ Fed Minas Gerais"," ICB"," Ecol Evolut & Biodivers DBG, BR-30161970 Belo Horizonte, MG, Brazil.","BR-30161970","Brazil"
"9396","Silveira, Fernando A. O.","Univ Fed Minas Gerais, ICB, Ecol Evolut & Biodivers DBG, BR-30161970 Belo Horizonte, MG, Brazil.","Univ Fed Minas Gerais"," ICB"," Ecol Evolut & Biodivers DBG, BR-30161970 Belo Horizonte, MG, Brazil.","BR-30161970","Brazil"
"9397","Armesto, Juan J.",NA,NA,NA,NA,NA,NA
"9398","Barbosa, Olga",NA,NA,NA,NA,NA,NA
"9399","Christie, Duncan A.",NA,NA,NA,NA,NA,NA
"9400","Del-Val, Ek",NA,NA,NA,NA,NA,NA
"9401","Ewing, Holly A.",NA,NA,NA,NA,NA,NA
"9402","Gutierrez, Alvaro G.",NA,NA,NA,NA,NA,NA
"9403","Jones, Clive G.",NA,NA,NA,NA,NA,NA
"9404","Marquet, Pablo A.",NA,NA,NA,NA,NA,NA
"9405","Weathers, Kathleen C.",NA,NA,NA,NA,NA,NA
"9406","Bini, Luis Mauricio",NA,NA,NA,NA,NA,NA
"9407","Diniz-Filho, Jose Alexandre Felizola",NA,NA,NA,NA,NA,NA
"9408","Diniz-Filho, Jose Alexandre Felizola",NA,NA,NA,NA,NA,NA
"9409","Hawkins, Bradford A.",NA,NA,NA,NA,NA,NA
"9410","Ramirez, Lizabeth",NA,NA,NA,NA,NA,NA
"9411","Barreiros, J. P.","Univ Fed Fluminense, Dept Biol Marinha, BR-24001970 Niteroi, RJ, Brazil.","Univ Fed Fluminense"," Dept Biol Marinha"," BR-24001970 Niteroi, RJ, Brazil.","BR-24001970","Brazil"
"9412","Bernardi, G.",NA,NA,NA,NA,NA,NA
"9413","Bowen, B. W.","Univ Hawaii, Hawaii Inst Marine Biol, Kaneohe, HI 96744 USA.","Univ Hawaii"," Hawaii Inst Marine Biol"," Kaneohe, HI 96744 USA."," 96744","USA"
