"","AF","address","university","department","short_address","postal_code","country","EB_author.country","match"
"2277","Maria Espelta, Josep","Autonomous Univ Barcelona, CREAF Ctr Ecol Res & Forestry Applicat, Bellaterra 08193, Catalonia, Spain.","Autonomous Univ Barcelona"," CREAF Ctr Ecol Res & Forestry Applicat"," Bellaterra 08193, Catalonia, Spain."," 08193","Spain","Spain",TRUE
"2278","Herrera, Ertilia","UNAN, FAREM, Esteli, Nicaragua.","UNAN"," FAREM"," Esteli, Nicaragua.",NA,"Nicaragua","Nicaragua",TRUE
"2279","Ravera, Federica","Autonomous Univ Barcelona, ICTA Inst Environm Sci & Technol, Bellaterra 08193, Catalonia, Spain.","Autonomous Univ Barcelona"," ICTA Inst Environm Sci & Technol"," Bellaterra 08193, Catalonia, Spain."," 08193","Spain","Spain",TRUE
"2280","Tarrason, David","Autonomous Univ Barcelona, CREAF Ctr Ecol Res & Forestry Applicat, Bellaterra 08193, Catalonia, Spain.","Autonomous Univ Barcelona"," CREAF Ctr Ecol Res & Forestry Applicat"," Bellaterra 08193, Catalonia, Spain."," 08193","Spain","Spain",TRUE
"2281","Urrutia, Josue T.","UNAN, FAREM, Esteli, Nicaragua.","UNAN"," FAREM"," Esteli, Nicaragua.",NA,"Nicaragua","Nicaragua",TRUE
"2282","Colli, Guarino R.","Univ Brasilia, Dept Zool, BR-70910900 Brasilia, DF, Brazil.","Univ Brasilia"," Dept Zool"," BR-70910900 Brasilia, DF, Brazil.","BR-70910900","Brazil","Brazil",TRUE
"2283","Costa, Gabriel C.","Univ Fed Rio Grande do Norte, Ctr Biociencias, Dept Bot Ecol & Zool, BR-59072970 Natal, RN, Brazil.","Univ Fed Rio Grande do Norte"," Ctr Biociencias"," Dept Bot Ecol & Zool, BR-59072970 Natal, RN, Brazil.","BR-59072970","Brazil","Brazil",TRUE
"2284","Machado, Ricardo B.","Univ Brasilia, Dept Zool, BR-70910900 Brasilia, DF, Brazil.","Univ Brasilia"," Dept Zool"," BR-70910900 Brasilia, DF, Brazil.","BR-70910900","Brazil","Brazil",TRUE
"2285","Nogueira, Cristiano","Univ Brasilia, Dept Zool, BR-70910900 Brasilia, DF, Brazil.","Univ Brasilia"," Dept Zool"," BR-70910900 Brasilia, DF, Brazil.","BR-70910900","Brazil","Brazil",TRUE
"2286","Beger, Maria","Univ Queensland, Sch Biol Sci, Commonwealth Ctr Appl Environm Decis Anal, Brisbane, Qld 4072, Australia.","Univ Queensland"," Sch Biol Sci"," Commonwealth Ctr Appl Environm Decis Anal, Brisbane, Qld 4072, Australia.","Qld 4072","Australia","Australia",TRUE
"2287","Brumbaugh, Daniel R.","Amer Museum Nat Hist, Ctr Biodivers & Conservat, New York, NY 10024 USA.","Amer Museum Nat Hist"," Ctr Biodivers & Conservat"," New York, NY 10024 USA."," 10024","USA","USA",TRUE
"2288","Dorfman, Daniel","Univ Calif Santa Cruz, Ctr Ocean Hlth Santa Cruz, Global Marine Initiat, Santa Cruz, CA 95060 USA.","Univ Calif Santa Cruz"," Ctr Ocean Hlth Santa Cruz"," Global Marine Initiat, Santa Cruz, CA 95060 USA."," 95060","USA","USA",TRUE
"2289","Grantham, Hedley S.","Univ Queensland, Sch Biol Sci, Commonwealth Ctr Appl Environm Decis Anal, Brisbane, Qld 4072, Australia.","Univ Queensland"," Sch Biol Sci"," Commonwealth Ctr Appl Environm Decis Anal, Brisbane, Qld 4072, Australia.","Qld 4072","Australia","Australia",TRUE
"2290","Lourival, Reinaldo","Univ Queensland, Sch Biol Sci, Commonwealth Ctr Appl Environm Decis Anal, Brisbane, Qld 4072, Australia.","Univ Queensland"," Sch Biol Sci"," Commonwealth Ctr Appl Environm Decis Anal, Brisbane, Qld 4072, Australia.","Qld 4072","Australia","Australia",TRUE
"2291","Mumby, Peter J.","Univ Exeter, Marine Spatial Ecol Lab, Hatherly Lab, Sch Biosci, Exeter EX4 4PS, Devon, England.","Univ Exeter"," Marine Spatial Ecol Lab"," Hatherly Lab, Sch Biosci, Exeter EX4 4PS, Devon, England.","EX4 4PS",NA,"England",NA
"2292","Peterson, Eric L.","Victoria Univ, Sch Sci & Engn, Melbourne, Vic 3001, Australia.","Victoria Univ"," Sch Sci & Engn"," Melbourne, Vic 3001, Australia.","Vic 3001","Australia","Australia",TRUE
"2293","Possingham, Hugh P.","Univ Queensland, Sch Biol Sci, Commonwealth Ctr Appl Environm Decis Anal, Brisbane, Qld 4072, Australia.","Univ Queensland"," Sch Biol Sci"," Commonwealth Ctr Appl Environm Decis Anal, Brisbane, Qld 4072, Australia.","Qld 4072","Australia","Australia",TRUE
"2294","Pressey, Robert L.","Univ Queensland, Sch Biol Sci, Commonwealth Ctr Appl Environm Decis Anal, Brisbane, Qld 4072, Australia.","Univ Queensland"," Sch Biol Sci"," Commonwealth Ctr Appl Environm Decis Anal, Brisbane, Qld 4072, Australia.","Qld 4072","Australia","Australia",TRUE
"2295","Wilson, Kerrie A.","Univ Queensland, Sch Biol Sci, Commonwealth Ctr Appl Environm Decis Anal, Brisbane, Qld 4072, Australia.","Univ Queensland"," Sch Biol Sci"," Commonwealth Ctr Appl Environm Decis Anal, Brisbane, Qld 4072, Australia.","Qld 4072","Australia","Australia",TRUE
"2296","Estrada-Villegas, Sergio","Univ Andes, Lab Ecol Vertebrados, Dept Ciencias Biol, Bogota, DC, Colombia.","Univ Andes"," Lab Ecol Vertebrados"," Dept Ciencias Biol, Bogota, DC, Colombia.",NA,"Colombia","Colombia",TRUE
"2297","Kalko, Elisabeth K. V.","Univ Ulm, Inst Expt Ecol, D-89069 Ulm, Germany.","Univ Ulm"," Inst Expt Ecol"," D-89069 Ulm, Germany.","D-8906","Germany","Germany",TRUE
"2298","Meyer, Christoph F. J.","Univ Ulm, Inst Expt Ecol, D-89069 Ulm, Germany.","Univ Ulm"," Inst Expt Ecol"," D-89069 Ulm, Germany.","D-8906","Germany","Germany",TRUE
"2299","Ticul Alvarez-Castaneda, Sergio","CIBNOR, La Paz 23000, Baja California, Mexico.","CIBNOR"," La Paz 23000"," Baja California, Mexico.",NA,"Mexico","Mexico",TRUE
"2300","Arnaud, Gustavo","CIBNOR, La Paz 23000, Baja California, Mexico.","CIBNOR"," La Paz 23000"," Baja California, Mexico.",NA,"Mexico","Mexico",TRUE
"2301","Cortes-Calva, Patricia","CIBNOR, La Paz 23000, Baja California, Mexico.","CIBNOR"," La Paz 23000"," Baja California, Mexico.",NA,"Mexico","Mexico",TRUE
"2302","Mendez, Lia","CIBNOR, La Paz 23000, Baja California, Mexico.","CIBNOR"," La Paz 23000"," Baja California, Mexico.",NA,"Mexico","Mexico",TRUE
"2303","Gomes, Carlos Henrique A. M.","Univ Fed Santa Catarina, Lab Moluscos Marinhos, BR-88062601 Florianopolis, SC, Brazil.","Univ Fed Santa Catarina"," Lab Moluscos Marinhos"," BR-88062601 Florianopolis, SC, Brazil.","BR-88062601","Brazil","Brazil",TRUE
"2304","Lazoski, Cristiano","UFRJ, CCS, Ilha Fundao, Lab Biodiversidade Mol,Inst Biol, BR-21941490 Rio De Janeiro, Brazil.","UFRJ"," CCS"," Ilha Fundao, Lab Biodiversidade Mol,Inst Biol, BR-21941490 Rio De Janeiro, Brazil.","BR-21941490","Brazil","Brazil",TRUE
"2305","Melo, Claudio M. R.","Univ Fed Santa Catarina, Lab Moluscos Marinhos, BR-88062601 Florianopolis, SC, Brazil.","Univ Fed Santa Catarina"," Lab Moluscos Marinhos"," BR-88062601 Florianopolis, SC, Brazil.","BR-88062601","Brazil","Brazil",TRUE
"2306","Silva, Francisco C.","Univ Fed Santa Catarina, Lab Moluscos Marinhos, BR-88062601 Florianopolis, SC, Brazil.","Univ Fed Santa Catarina"," Lab Moluscos Marinhos"," BR-88062601 Florianopolis, SC, Brazil.","BR-88062601","Brazil","Brazil",TRUE
"2307","Sole-Cava, Antonio M.","UFRJ, CCS, Ilha Fundao, Lab Biodiversidade Mol,Inst Biol, BR-21941490 Rio De Janeiro, Brazil.","UFRJ"," CCS"," Ilha Fundao, Lab Biodiversidade Mol,Inst Biol, BR-21941490 Rio De Janeiro, Brazil.","BR-21941490","Brazil","Brazil",TRUE
"2308","Garcia-Vazquez, Eva","Univ Oviedo, Dept Biol Func, E-33006 Oviedo, Spain.","Univ Oviedo"," Dept Biol Func"," E-33006 Oviedo, Spain.","E-3300","Spain","Spain",TRUE
"2309","Juanes, Francis","Univ Massachusetts, Dept Nat Resources Conservat, Amherst, MA 01003 USA.","Univ Massachusetts"," Dept Nat Resources Conservat"," Amherst, MA 01003 USA."," 01003","USA","USA",TRUE
"2310","Nunez, Pablo","Ctr Biol Aplicada Neuquen, RA-8371 Junin De Los Andes, Neuquen, Argentina.","Ctr Biol Aplicada Neuquen"," RA-8371 Junin De Los Andes"," Neuquen, Argentina.",NA,"Argentina","Argentina",TRUE
"2311","Valiente, America G.","Univ Oviedo, Dept Biol Func, E-33006 Oviedo, Spain.","Univ Oviedo"," Dept Biol Func"," E-33006 Oviedo, Spain.","E-3300","Spain","Spain",TRUE
"2312","Asner, Gregory P.","Carnegie Inst, Dept Global Ecol, Stanford, CA 94305 USA.","Carnegie Inst"," Dept Global Ecol"," Stanford, CA 94305 USA."," 94305","USA","USA",TRUE
"2313","Kennedy-Bowdoin, Ty","Carnegie Inst, Dept Global Ecol, Stanford, CA 94305 USA.","Carnegie Inst"," Dept Global Ecol"," Stanford, CA 94305 USA."," 94305","USA","USA",TRUE
"2314","Knapp, David E.","Carnegie Inst, Dept Global Ecol, Stanford, CA 94305 USA.","Carnegie Inst"," Dept Global Ecol"," Stanford, CA 94305 USA."," 94305","USA","USA",TRUE
"2315","Martin, Roberta E.","Carnegie Inst, Dept Global Ecol, Stanford, CA 94305 USA.","Carnegie Inst"," Dept Global Ecol"," Stanford, CA 94305 USA."," 94305","USA","USA",TRUE
"2316","Cantamutto, Miguel","Univ Nacl Sur, Dept Agron, RA-8000 Bahia Blanca, Buenos Aires, Argentina.","Univ Nacl Sur"," Dept Agron"," RA-8000 Bahia Blanca, Buenos Aires, Argentina.","RA-8000","Argentina","Argentina",TRUE
"2317","Gutierrez, Agustina","Univ Nacl Sur, Dept Agron, RA-8000 Bahia Blanca, Buenos Aires, Argentina.","Univ Nacl Sur"," Dept Agron"," RA-8000 Bahia Blanca, Buenos Aires, Argentina.","RA-8000","Argentina","Argentina",TRUE
"2318","Poverene, Monica","Univ Nacl Sur, Dept Agron, RA-8000 Bahia Blanca, Buenos Aires, Argentina.","Univ Nacl Sur"," Dept Agron"," RA-8000 Bahia Blanca, Buenos Aires, Argentina.","RA-8000","Argentina","Argentina",TRUE
"2319","Presotto, Alejandro","Univ Nacl Sur, Dept Agron, RA-8000 Bahia Blanca, Buenos Aires, Argentina.","Univ Nacl Sur"," Dept Agron"," RA-8000 Bahia Blanca, Buenos Aires, Argentina.","RA-8000","Argentina","Argentina",TRUE
"2320","Torres, Lluis","Ctr UdL IRTA, Lleida, Cataluna, Spain.","Ctr UdL IRTA"," Lleida"," Cataluna, Spain.",NA,"Spain","Spain",TRUE
"2321","Ureta, Soledad","Univ Nacl Sur, Dept Agron, RA-8000 Bahia Blanca, Buenos Aires, Argentina.","Univ Nacl Sur"," Dept Agron"," RA-8000 Bahia Blanca, Buenos Aires, Argentina.","RA-8000","Argentina","Argentina",TRUE
"2322","Farji-Brener, Alejandro G.","Consejo Nacl Invest Cient & Tecn, INIBIOMA, Lab Ecotono CRUB UNComa, RA-8400 San Carlos De Bariloche, Rio Negro, Argentina.","Consejo Nacl Invest Cient & Tecn"," INIBIOMA"," Lab Ecotono CRUB UNComa, RA-8400 San Carlos De Bariloche, Rio Negro, Argentina.","RA-8400","Argentina","Argentina",TRUE
"2323","Masciocchi, Maite","Consejo Nacl Invest Cient & Tecn, INIBIOMA, Lab Ecotono CRUB UNComa, RA-8400 San Carlos De Bariloche, Rio Negro, Argentina.","Consejo Nacl Invest Cient & Tecn"," INIBIOMA"," Lab Ecotono CRUB UNComa, RA-8400 San Carlos De Bariloche, Rio Negro, Argentina.","RA-8400","Argentina","Argentina",TRUE
"2324","Sackmann, Paula","Consejo Nacl Invest Cient & Tecn, INIBIOMA, Lab Ecotono CRUB UNComa, RA-8400 San Carlos De Bariloche, Rio Negro, Argentina.","Consejo Nacl Invest Cient & Tecn"," INIBIOMA"," Lab Ecotono CRUB UNComa, RA-8400 San Carlos De Bariloche, Rio Negro, Argentina.","RA-8400","Argentina","Argentina",TRUE
"2325","Kitzberger, Thomas","Univ Nacl Comahue, CRUB, CONICET, INIBIOMA, RA-8400 San Carlos De Bariloche, Rio Negro, Argentina.","Univ Nacl Comahue"," CRUB"," CONICET, INIBIOMA, RA-8400 San Carlos De Bariloche, Rio Negro, Argentina.","RA-8400","Argentina","Argentina",TRUE
"2326","Sanguinetti, Javier","Adm Parques Nacl, Parque Nacl Lanin, RA-8371 San Martin De Los, Argentina.","Adm Parques Nacl"," Parque Nacl Lanin"," RA-8371 San Martin De Los, Argentina.","RA-8371","Argentina","Argentina",TRUE
"2327","Aguiar, Antonio Venceslau","Univ Fed Pernambuco, Dept Bot, Programa Posgrad Biol Vegetal, BR-50670901 Recife, PE, Brazil.","Univ Fed Pernambuco"," Dept Bot"," Programa Posgrad Biol Vegetal, BR-50670901 Recife, PE, Brazil.","BR-50670901","Brazil","Brazil",TRUE
"2328","Tabarelli, Marcelo","Univ Fed Pernambuco, Dept Bot, Lab Ecol Vegetal, BR-50670901 Recife, PE, Brazil.","Univ Fed Pernambuco"," Dept Bot"," Lab Ecol Vegetal, BR-50670901 Recife, PE, Brazil.","BR-50670901","Brazil","Brazil",TRUE
"2329","Camilo-Alves, Constanca de Sampaio e Paiva","Embrapa Pantanal, Lab Vida Selvagem, BR-79320900 Corumba, MS, Brazil.","Embrapa Pantanal"," Lab Vida Selvagem"," BR-79320900 Corumba, MS, Brazil.","BR-79320900","Brazil","Brazil",TRUE
"2330","Mourao, Guilherme de Miranda","Embrapa Pantanal, Lab Vida Selvagem, BR-79320900 Corumba, MS, Brazil.","Embrapa Pantanal"," Lab Vida Selvagem"," BR-79320900 Corumba, MS, Brazil.","BR-79320900","Brazil","Brazil",TRUE
"2331","Armesto, Juan J.","Pontificia Univ Catolica Chile, Fac Ciencias Biol, Dept Ecol, Ctr Adv Studies Ecol & Biodivers, Santiago, Chile.","Pontificia Univ Catolica Chile"," Fac Ciencias Biol"," Dept Ecol, Ctr Adv Studies Ecol & Biodivers, Santiago, Chile.",NA,"Chile","Chile",TRUE
"2332","del-Val, Ek","Univ Nacl Autonoma Mexico, Ctr Invest Ecosistemas, Morelia 58089, Michoacan, Mexico.","Univ Nacl Autonoma Mexico"," Ctr Invest Ecosistemas"," Morelia 58089, Michoacan, Mexico."," 58089","Mexico","Mexico",TRUE
"2333","Abdala-Roberts, Luis","Univ Autonoma Yucatan, Dept Ecol Trop, Merida 97000, Yucatan, Mexico.","Univ Autonoma Yucatan"," Dept Ecol Trop"," Merida 97000, Yucatan, Mexico."," 97000","Mexico","Mexico",TRUE
"2334","Delfin-Gonzalez, Hugo","Univ Autonoma Yucatan, Dept Zool, Merida 97000, Yucatan, Mexico.","Univ Autonoma Yucatan"," Dept Zool"," Merida 97000, Yucatan, Mexico."," 97000","Mexico","Mexico",TRUE
"2335","Diaz-Castelazo, Cecilia","Univ Autonoma Yucatan, Dept Ecol Trop, Merida 97000, Yucatan, Mexico.","Univ Autonoma Yucatan"," Dept Ecol Trop"," Merida 97000, Yucatan, Mexico."," 97000","Mexico","Mexico",TRUE
"2336","Parra-Tabla, Victor","Univ Autonoma Yucatan, Dept Ecol Trop, Merida 97000, Yucatan, Mexico.","Univ Autonoma Yucatan"," Dept Ecol Trop"," Merida 97000, Yucatan, Mexico."," 97000","Mexico","Mexico",TRUE
"2337","Salinas-Peba, Luis","Univ Autonoma Yucatan, Dept Ecol Trop, Merida 97000, Yucatan, Mexico.","Univ Autonoma Yucatan"," Dept Ecol Trop"," Merida 97000, Yucatan, Mexico."," 97000","Mexico","Mexico",TRUE
"2338","Ross, Rebecca I. C.","Dept Plant Sci, Cambridge CB2 3EA, England.","Dept Plant Sci"," Cambridge CB2 3EA"," England.",NA,NA,"England",NA
"2339","Sayer, Emma J.","Dept Plant Sci, Cambridge CB2 3EA, England.","Dept Plant Sci"," Cambridge CB2 3EA"," England.",NA,NA,"England",NA
"2340","Sutcliffe, Laura M. E.","Dept Plant Sci, Cambridge CB2 3EA, England.","Dept Plant Sci"," Cambridge CB2 3EA"," England.",NA,NA,"England",NA
"2341","Tanner, Edmund V. J.","Dept Plant Sci, Cambridge CB2 3EA, England.","Dept Plant Sci"," Cambridge CB2 3EA"," England.",NA,NA,"England",NA
"2342","Gibbs, James P.","SUNY Syracuse, Coll Environm Sci & Forestry, Syracuse, NY 13210 USA.","SUNY Syracuse"," Coll Environm Sci & Forestry"," Syracuse, NY 13210 USA."," 13210","USA","USA",TRUE
"2343","Sterling, Eleanor J.","Amer Museum Nat Hist, Ctr Biodivers & Conservat, New York, NY 10024 USA.","Amer Museum Nat Hist"," Ctr Biodivers & Conservat"," New York, NY 10024 USA."," 10024","USA","USA",TRUE
"2344","Javier Zabala, F.","Charles Darwin Res Stn, Santa Cruz, Galapagos Isl, Ecuador.","Charles Darwin Res Stn"," Santa Cruz"," Galapagos Isl, Ecuador.",NA,"Ecuador","Ecuador",TRUE
"2345","de Boer, W. F.","Wageningen Univ, Resource Ecol Grp, NL-6708 PB Wageningen, Netherlands.","Wageningen Univ"," Resource Ecol Grp"," NL-6708 PB Wageningen, Netherlands.","NL-6708","Netherlands","Netherlands",TRUE
"2346","Leyequien, Euridice","Wageningen Univ, Resource Ecol Grp, NL-6708 PB Wageningen, Netherlands.","Wageningen Univ"," Resource Ecol Grp"," NL-6708 PB Wageningen, Netherlands.","NL-6708","Netherlands","Netherlands",TRUE
"2347","Toledo, Victor M.","Univ Nacl Autonoma Mexico, Ctr Invest Ecosistemas, Morelia 58190, Michoacan, Mexico.","Univ Nacl Autonoma Mexico"," Ctr Invest Ecosistemas"," Morelia 58190, Michoacan, Mexico."," 58190","Mexico","Mexico",TRUE
"2348","Endo, Whaldener","Chinese Acad Sci, State Key Lab Genet Resources & Evolut, ECEC, Kunming Inst Zool, Kunming 650223, Yunnan, Peoples R China.","Chinese Acad Sci"," State Key Lab Genet Resources & Evolut"," ECEC, Kunming Inst Zool, Kunming 650223, Yunnan, Peoples R China."," 65022","China","Peoples R China",FALSE
"2349","Mori, Sandra","Univ Nacl Mayor San Marcos, Museo Hist Nat, Lima 14, Peru.","Univ Nacl Mayor San Marcos"," Museo Hist Nat"," Lima 14, Peru.","Lima 14","Peru","Peru",TRUE
"2350","Pacheco, Victor","Univ Nacl Mayor San Marcos, Museo Hist Nat, Lima 14, Peru.","Univ Nacl Mayor San Marcos"," Museo Hist Nat"," Lima 14, Peru.","Lima 14","Peru","Peru",TRUE
"2351","Peres, Carlos A.","Univ E Anglia, Sch EnvironmSci, CEEC, Norwich NR4 7TJ, Norfolk, England.","Univ E Anglia"," Sch EnvironmSci"," CEEC, Norwich NR4 7TJ, Norfolk, England.","NR4 7TJ",NA,"England",NA
"2352","Salas, Edith","Univ Nacl Mayor San Marcos, Museo Hist Nat, Lima 14, Peru.","Univ Nacl Mayor San Marcos"," Museo Hist Nat"," Lima 14, Peru.","Lima 14","Peru","Peru",TRUE
"2353","Sanchez-Vega, Jose-Luis","Univ Nacl Mayor San Marcos, Museo Hist Nat, Lima 14, Peru.","Univ Nacl Mayor San Marcos"," Museo Hist Nat"," Lima 14, Peru.","Lima 14","Peru","Peru",TRUE
"2354","Shepard, Glenn H.","Univ E Anglia, Sch EnvironmSci, CEEC, Norwich NR4 7TJ, Norfolk, England.","Univ E Anglia"," Sch EnvironmSci"," CEEC, Norwich NR4 7TJ, Norfolk, England.","NR4 7TJ",NA,"England",NA
"2355","Yu, Douglas W.","Chinese Acad Sci, State Key Lab Genet Resources & Evolut, ECEC, Kunming Inst Zool, Kunming 650223, Yunnan, Peoples R China.","Chinese Acad Sci"," State Key Lab Genet Resources & Evolut"," ECEC, Kunming Inst Zool, Kunming 650223, Yunnan, Peoples R China."," 65022","China","Peoples R China",FALSE
"2356","Bravo, Len A.","Univ Concepcion, Dept Bot, Concepcion, Chile.","Univ Concepcion"," Dept Bot"," Concepcion, Chile.",NA,"Chile","Chile",TRUE
"2357","Coopman, Rafael E.","Univ Austral Chile, Fac Ciencias Forest, Inst Silvicultura, Valdivia, Chile.","Univ Austral Chile"," Fac Ciencias Forest"," Inst Silvicultura, Valdivia, Chile.",NA,"Chile","Chile",TRUE
"2358","Corcuera, Luis J.","Univ Concepcion, Dept Bot, Concepcion, Chile.","Univ Concepcion"," Dept Bot"," Concepcion, Chile.",NA,"Chile","Chile",TRUE
"2359","Hernandez, Carolina","Univ Concepcion, Dept Bot, Concepcion, Chile.","Univ Concepcion"," Dept Bot"," Concepcion, Chile.",NA,"Chile","Chile",TRUE
"2360","Saldana, Alfredo","Univ Concepcion, Dept Bot, Concepcion, Chile.","Univ Concepcion"," Dept Bot"," Concepcion, Chile.",NA,"Chile","Chile",TRUE
"2361","Lopez de Casenave, Javier","Univ Buenos Aires, Fac Ciencias Exactas & Nat, Grp Invest Ecol Comunidaes Desierto, Dept Ecol Genet & Evoluc, Buenos Aires, DF, Argentina.","Univ Buenos Aires"," Fac Ciencias Exactas & Nat"," Grp Invest Ecol Comunidaes Desierto, Dept Ecol Genet & Evoluc, Buenos Aires, DF, Argentina.",NA,"Argentina","Argentina",TRUE
"2362","Ines Pirk, Gabriela","Univ Buenos Aires, Fac Ciencias Exactas & Nat, Grp Invest Ecol Comunidaes Desierto, Dept Ecol Genet & Evoluc, Buenos Aires, DF, Argentina.","Univ Buenos Aires"," Fac Ciencias Exactas & Nat"," Grp Invest Ecol Comunidaes Desierto, Dept Ecol Genet & Evoluc, Buenos Aires, DF, Argentina.",NA,"Argentina","Argentina",TRUE
"2363","Ladwig, Laura M.","Eastern Illinois Univ, Dept Biol Sci, Charleston, IL 61920 USA.","Eastern Illinois Univ"," Dept Biol Sci"," Charleston, IL 61920 USA."," 61920","USA","USA",TRUE
"2364","Meiners, Scott J.","Eastern Illinois Univ, Dept Biol Sci, Charleston, IL 61920 USA.","Eastern Illinois Univ"," Dept Biol Sci"," Charleston, IL 61920 USA."," 61920","USA","USA",TRUE
"2365","Diaz-Castelazo, Cecilia","Inst Ecol, Dept Ecol Aplicada, Xalapa 91070, Veracruz, Mexico.","Inst Ecol"," Dept Ecol Aplicada"," Xalapa 91070, Veracruz, Mexico."," 91070","Mexico","Mexico",TRUE
"2366","Guimaraes, Paulo R., Jr.","Univ Calif Santa Cruz, Dept Ecol & Evolutionary Biol, Santa Cruz, CA 95064 USA.","Univ Calif Santa Cruz"," Dept Ecol & Evolutionary Biol"," Santa Cruz, CA 95064 USA."," 95064","USA","USA",TRUE
"2367","Guimaraes, Paulo R., Jr.","Univ Calif Santa Cruz, Dept Ecol & Evolutionary Biol, Santa Cruz, CA 95064 USA.","Univ Calif Santa Cruz"," Dept Ecol & Evolutionary Biol"," Santa Cruz, CA 95064 USA."," 95064","USA","USA",TRUE
"2368","Guimaraes, Paulo R., Jr.","Univ Calif Santa Cruz, Dept Ecol & Evolutionary Biol, Santa Cruz, CA 95064 USA.","Univ Calif Santa Cruz"," Dept Ecol & Evolutionary Biol"," Santa Cruz, CA 95064 USA."," 95064","USA","USA",TRUE
"2369","Jordano, Pedro","CSIC, Estac Biol Donana, Integrat Ecol Grp, E-41092 Seville, Spain.","CSIC"," Estac Biol Donana"," Integrat Ecol Grp, E-41092 Seville, Spain.","E-4109","Spain","Spain",TRUE
"2370","Marquis, Robert J.","Univ Missouri, Dept Biol, St Louis, MO 63121 USA.","Univ Missouri"," Dept Biol"," St Louis, MO 63121 USA."," 63121","USA","USA",TRUE
"2371","Rico-Gray, Victor","Inst Ecol, Dept Ecol Aplicada, Xalapa 91070, Veracruz, Mexico.","Inst Ecol"," Dept Ecol Aplicada"," Xalapa 91070, Veracruz, Mexico."," 91070","Mexico","Mexico",TRUE
"2372","Thompson, John N.","Univ Calif Santa Cruz, Dept Ecol & Evolutionary Biol, Santa Cruz, CA 95064 USA.","Univ Calif Santa Cruz"," Dept Ecol & Evolutionary Biol"," Santa Cruz, CA 95064 USA."," 95064","USA","USA",TRUE
"2373","Cangiano, Carlos A.","INTA Balcarce, Buenos Aires, DF, Argentina.","INTA Balcarce"," Buenos Aires"," DF, Argentina.",NA,"Argentina","Argentina",TRUE
"2374","Galli, Julio R.","Univ Nacl Rosario, Dept Anim Prod, Santa Fe, Argentina.","Univ Nacl Rosario"," Dept Anim Prod"," Santa Fe, Argentina.",NA,"Argentina","Argentina",TRUE
"2375","Laca, Emilio A.","Univ Calif Davis, Dept Plant Sci, Davis, CA 95616 USA.","Univ Calif Davis"," Dept Plant Sci"," Davis, CA 95616 USA."," 95616","USA","USA",TRUE
"2376","Sokolow, Susanne","Univ Calif Santa Barbara, Inst Marine Sci, Santa Barbara, CA 93106 USA.","Univ Calif Santa Barbara"," Inst Marine Sci"," Santa Barbara, CA 93106 USA."," 93106","USA","USA",TRUE
"2377","Caramaschi, E. P.","Univ Fed Rio de Janeiro, Dept Ecol, Rio De Janeiro, Brazil.","Univ Fed Rio de Janeiro"," Dept Ecol"," Rio De Janeiro, Brazil.",NA,"Brazil","Brazil",TRUE
"2378","de Macedo-Soares, P. H. M.","Univ Fed Rio de Janeiro, Dept Ecol, Rio De Janeiro, Brazil.","Univ Fed Rio de Janeiro"," Dept Ecol"," Rio De Janeiro, Brazil.",NA,"Brazil","Brazil",TRUE
"2379","Farjalla, V. F.","Univ Fed Rio de Janeiro, Dept Ecol, Rio De Janeiro, Brazil.","Univ Fed Rio de Janeiro"," Dept Ecol"," Rio De Janeiro, Brazil.",NA,"Brazil","Brazil",TRUE
"2380","Petry, A. C.","UFRJ, NUPEM, Nucleo Ecol & Desenvolvimento Socioambiental Maca, BR-27910970 Macae, RJ, Brazil.","UFRJ"," NUPEM"," Nucleo Ecol & Desenvolvimento Socioambiental Maca, BR-27910970 Macae, RJ, Brazil.","BR-27910970","Brazil","Brazil",TRUE
"2381","Arce, David","Univ Playa Ancha Ciencias Educ, Fac Ciencias Exactas & Nat, Dept Biol & Quim, Valparaiso, Chile.","Univ Playa Ancha Ciencias Educ"," Fac Ciencias Exactas & Nat"," Dept Biol & Quim, Valparaiso, Chile.",NA,"Chile","Chile",TRUE
"2382","Beltrami, Marcial","Univ Metropolitana Ciencias Educ, Fac Ciencias Exactas & Nat, Dept Biol, Santiago, Chile.","Univ Metropolitana Ciencias Educ"," Fac Ciencias Exactas & Nat"," Dept Biol, Santiago, Chile.",NA,"Chile","Chile",TRUE
"2383","Godoy-Herrera, Raul","Univ Chile, Facultad Medicina, ICBM, Programa Genet Humana, 70061 Santiago 70061 7, Chile.","Univ Chile"," Facultad Medicina"," ICBM, Programa Genet Humana, 70061 Santiago 70061 7, Chile."," 70061","Chile","Chile",TRUE
"2384","Cristina Medina-Munoz, Maria","Univ Valparaiso, Fac Ciencias, Dept Biol & Ciencias Ambientales, Valparaiso, Chile.","Univ Valparaiso"," Fac Ciencias"," Dept Biol & Ciencias Ambientales, Valparaiso, Chile.",NA,"Chile","Chile",TRUE
"2385","Carvallo, Gaston O.","Univ Chile, Fac Ciencias, Dept Ciencias Ecol, Santiago, Chile.","Univ Chile"," Fac Ciencias"," Dept Ciencias Ecol, Santiago, Chile.",NA,"Chile","Chile",TRUE
"2386","Medel, Rodrigo","Univ Chile, Fac Ciencias, Dept Ciencias Ecol, Santiago, Chile.","Univ Chile"," Fac Ciencias"," Dept Ciencias Ecol, Santiago, Chile.",NA,"Chile","Chile",TRUE
