"AU_ID","UT","C1","RP","RID","RI","OI","Author_Order"
"Yu, SX_1","WOS:000373565900022
","Sun Yat Sen Univ, Dept Ecol, Sch Life Sci, State Key Lab Biocontrol, Guangzhou 510275, Guangdong, Peoples R China.","Sun Yat Sen Univ, Dept Ecol, Sch Life Sci, State Key Lab Biocontrol, Guangzhou 510275, Guangdong, Peoples R China.","","","",6
"Gardner, JL_1","WOS:000373565900023
","Monash Univ, Sch Biol Sci, Melbourne, Vic 3168, Australia.
Australian Natl Univ, Div Evolut Ecol & Genet, GPO Box 4, Canberra, ACT 0200, Australia.","Australian Natl Univ, Div Evolut Ecol & Genet, GPO Box 4, Canberra, ACT 0200, Australia.","","Gardner,Janet/E-5401-2016","",1
"Amano, T_1","WOS:000373565900023
","Univ Cambridge, Dept Zool, Conservat Sci Grp, Cambridge CB2 3EJ, England.","","","Amano, Tatsuya/E-7367-2010","Amano,Tatsuya/0000-0001-6576-3410",2
"Sutherland, WJ_1","WOS:000373565900023
","Univ Cambridge, Dept Zool, Conservat Sci Grp, Cambridge CB2 3EJ, England.","","","Sutherland,William/B-1291-2013","",3
"Clayton, M_1","WOS:000373565900023
","81 Maribyrnong Ave, Kaleen, ACT 2617, Australia.","","","","",4
"Peters, A_1","WOS:000373565900023
","Monash Univ, Sch Biol Sci, Melbourne, Vic 3168, Australia.","","","","",5
"Solow, AR_1","WOS:000373565900024
","Woods Hole Oceanog Inst, Woods Hole, MA 02543 USA.","Woods Hole Oceanog Inst, Woods Hole, MA 02543 USA.","","","",1
"Alroy, J_1","WOS:000373565900025
","Macquarie Univ, Dept Biol Sci, Sydney, NSW 2109, Australia.","Macquarie Univ, Dept Biol Sci, Sydney, NSW 2109, Australia.","","Alroy,John/B-4585-2009","Alroy,John/0000-0002-9882-2111",1
"Du, E_1","WOS:000373565900026
","Beijing Normal Univ, State Key Lab Earth Surface Proc & Resource Ecol, Xinjiekouwai St 19, Beijing 100875, Peoples R China.
Beijing Normal Univ, Coll Resources Sci & Technol, Xinjiekouwai St 19, Beijing 100875, Peoples R China.","Beijing Normal Univ, Coll Resources Sci & Technol, Xinjiekouwai St 19, Beijing 100875, Peoples R China.","","","Du,Enzai/0000-0002-5519-0150",1
"Sullivan, PF_1","WOS:000373565900027
","Univ Alaska Anchorage, Environm & Nat Resources Inst, Anchorage, AK 99508 USA.","Univ Alaska Anchorage, Environm & Nat Resources Inst, Anchorage, AK 99508 USA.","","","",1
"Hansson, LA_1","WOS:000371439800001
","Lund Univ, Dept Biol Aquat Ecol, Ecol Bldg, S-22362 Lund, Sweden.","Lund Univ, Dept Biol Aquat Ecol, Ecol Bldg, S-22362 Lund, Sweden.","","","Hansson, Lars-Anders/0000-0002-3035-1317",1
"Bianco, G_1","WOS:000371439800001
","Lund Univ, Dept Biol Aquat Ecol, Ecol Bldg, S-22362 Lund, Sweden.","","","","",2
