"AU","AU_ID","AU_ID_Dupe","Similarity","AF","EM","C1","RP","RID","RI","OI"
"Ortega-Andrade, HM","Ortega-Andrade, HM_2",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Linares-Palomino, R","Linares-Palomino, R_2",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Kvist, LP","Kvist, LP_2",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Aguirre-Mendoza, Z","Aguirre-Mendoza, Z_2",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Gonzales-Inca, C","Gonzales-Inca, C_2",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Knoke, T","Knoke, T_2",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Calvas, B","Calvas, B_2",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Aguirre, N","Aguirre, N_3",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Roman-Cuesta, RM","Roman-Cuesta, RM_2",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Gunter, S","Gunter, S_2",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Stimm, B","Stimm, B_3",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Weber, M","Weber, M_4",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Mosandl, R","Mosandl, R_3",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Treves, A","Treves, A_2",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Wallace, RB","Wallace, RB_2",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"White, S","White, S_2",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Levin, II","Levin, II_2",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Outlaw, DC","Outlaw, DC_2",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Vargas, FH","Vargas, FH_6",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Parker, PG","Parker, PG_4",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Jager, H","Jager, H_4",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Kowarik, I","Kowarik, I_4",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Tye, A","Tye, A_6",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Dangles, O","Dangles, O_5",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Mesias, V","Mesias, V_2",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Crespo-Perez, V","Crespo-Perez, V_2",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Silvain, JF","Silvain, JF_4",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Gloor, M","Gloor, M_2",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Phillips, OL","Phillips, OL_7",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Lloyd, JJ","Lloyd, JJ_2",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Lewis, SL","Lewis, SL_5",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Malhi, Y","Malhi, Y_7",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Baker, TR","Baker, TR_6",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Lopez-Gonzalez, G","Lopez-Gonzalez, G_2",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Peacock, J","Peacock, J_2",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Almeida, S","Almeida, S_6",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"de Oliveira, ACA","de Oliveira, ACA_2",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Alvarez, E","Alvarez, E_3",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
"Amaral, I","Amaral, I_2",NA,NA,NA,"","","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA
