"AU_ID","UT","C1","RP","RID","RI","OI","Author_Order"
"Pajuelo, M_1","WOS:000284006800023
","Univ Florida, Dept Biol, Archie Carr Ctr Sea Turtle Res, Gainesville, FL 32611 USA.","Univ Florida, Dept Biol, Archie Carr Ctr Sea Turtle Res, Gainesville, FL 32611 USA","","","",1
"Bjorndal, KA_1","WOS:000284006800023
","","","","","",2
"Alfaro-Shigueto, Joanna_4","WOS:000284006800023
","","","","","",3
"Seminoff, JA_2","WOS:000284006800023
","","","","","",4
"Mangel, JC_2","WOS:000284006800023
","","","","","",5
"Bolten, AB_1","WOS:000284006800023
","","","","","",6
"Tafur, Ricardo_1","WOS:000275528300011
","Ctr Trop Marine Ecol ZMT, D-28359 Bremen, Germany.","","","","",1
"Keyl, F_1","WOS:000275528300011
","","Ctr Trop Marine Ecol ZMT, Fahrenheitstr 6, D-28359 Bremen, Germany","","","",2
"Arguelles, J_1","WOS:000275528300011
","","","","","",3
"Mangel, JC_2","WOS:000274354200020
","Pro Delphinus, Lima 11, Peru.","Pro Delphinus, Octavio Bernal 572-5, Lima 11, Peru","","","",1
"Alfaro-Shigueto, Joanna_4","WOS:000274354200020
","","","","","",2
"Van Waerebeek, K_1","WOS:000274354200020
","","","","","",3
"Caceres, Carlos_1","WOS:000274354200020
","","","","","",4
"Bearhop, S_1","WOS:000274354200020
","","","","","",5
"Witt, MJ_1","WOS:000274354200020
","","","","","",6
"Godley, BJ_1","WOS:000274354200020
","","","","","",7
"Zimmermann, M_2","WOS:000275172700004
","Univ Edinburgh, Sch Geosci, Edinburgh EH8 9XP, Midlothian, Scotland.","Univ Edinburgh, Sch Geosci, Edinburgh EH8 9XP, Midlothian, Scotland","","","",1
"Meir, Patrick_6","WOS:000275172700004
","","","","","",2
"Silman, MR_4","WOS:000275172700004
","","","","","",3
"Fedders, A_1","WOS:000275172700004
","","","","","",4
"Gibbon, A_2","WOS:000275172700004
","","","","","",5
"Malhi, Yadvinder_12","WOS:000275172700004
","","","","","",6
"Urrego, DH_1","WOS:000275172700004
","","","","","",7
"Bush, MB_1","WOS:000275172700004
","","","","","",8
"Feeley, KJ_2","WOS:000275172700004
","","","","","",9
"Garcia, KC_2","WOS:000275172700004
","","","","","",10
"Dargie, GC_2","WOS:000275172700004
","","","","","",11
"Farfan, WR_2","WOS:000275172700004
","","","","","",12
"Goetz, BP_1","WOS:000275172700004
","","","","","",13
"Johnson, WT_1","WOS:000275172700004
","","","","","",14
"Kline, KM_1","WOS:000275172700004
","","","","","",15
"Modi, AT_1","WOS:000275172700004
","","","","","",16
"Rurau, NMQ_1","WOS:000275172700004
","","","","","",17
"Staudt, BT_1","WOS:000275172700004
","","","","","",18
"Zamora, Flor_1","WOS:000275172700004
","","","","","",19
"Uscamaita, MR_1","WOS:000274770200014
","Univ Nacl Amazonia Peruana, Fac Ciencias Biol, Iquitos, Peru.","Univ Nacl Amazonia Peruana, Fac Ciencias Biol, Pevas 5, Iquitos, Peru","","","",1
"Bodmer, RE_1","WOS:000274770200014
","","","","","",2
"Linares-Palomino, R_2","WOS:000272614200010
","Univ Gottingen, Dept Systemat Bot, D-37073 Gottingen, Germany.","Univ Nacl Agr La Molina, Herbario Forestal MOL, Apartado 456, Lima 1, Peru","","","",1
"Kvist, LP_4","WOS:000272614200010
","","","","","",2
"Aguirre-Mendoza, Z_1","WOS:000272614200010
","","","","","",3
"Gonzales-Inca, C_1","WOS:000272614200010
","","","","","",4
"Garrett, KA_1","WOS:000269942500015
","Kansas State Univ, Dept Plant Pathol, Throckmorton Plant Sci Ctr 4024, Manhattan, KS 66506 USA.","Kansas State Univ, Dept Plant Pathol, Throckmorton Plant Sci Ctr 4024, Manhattan, KS 66506 USA","","","",1
"Zuniga, LN_1","WOS:000269942500015
","","","","","",2
"Roncal, E_1","WOS:000269942500015
","Inst Nacl Invest & Extens Agr, Cajamarca, Peru.","","","","",3
"Forbes, GA_1","WOS:000269942500015
","","","","","",4
"Mundt, CC_1","WOS:000269942500015
","","","","","",5
"Su, Z_1","WOS:000269942500015
","Kansas State Univ, Dept Plant Pathol, Throckmorton Plant Sci Ctr 4024, Manhattan, KS 66506 USA.","","","","",6
"Nelson, RJ_1","WOS:000269942500015
","","","","","",7
"Gloor, Manuel_1","WOS:000269577800006
","Univ Leeds, Sch Geog, Leeds LS2 9JT, W Yorkshire, England.","Univ Leeds, Sch Geog, Leeds LS2 9JT, W Yorkshire, England","","","",1
"Phillips, OL_17","WOS:000269577800006
","","","","","",2
"Lloyd, JJ_1","WOS:000269577800006
","","","","","",3
"Lewis, SL_6","WOS:000269577800006
","","","","","",4
"Malhi, Yadvinder_12","WOS:000269577800006
","Univ Oxford, Oxford, England.","","","","",5
"Baker, TR_10","WOS:000269577800006
","","","","","",6
"Lopez-Gonzalez, Gabriela_4","WOS:000269577800006
","Univ Leeds, Sch Geog, Leeds LS2 9JT, W Yorkshire, England.","","","","",7
"Peacock, J_1","WOS:000269577800006
","Univ Leeds, Sch Geog, Leeds LS2 9JT, W Yorkshire, England.","","","","",8
"Almeida, S_6","WOS:000269577800006
","Paraense Emilio Goeldi, Belem, Para, Brazil.","","","","",9
"de Oliveira, ACA_1","WOS:000269577800006
","","","","","",10
"Alvarez, Esteban_2","WOS:000269577800006
","Columbia Univ, Medellin, Colombia.","","","","",11
"Amaral, Ieda_2","WOS:000269577800006
","Team INPA, Manaus, Amazonas, Brazil.","","","","",12
"Arroyo, Luzmila_3","WOS:000269577800006
","Missouri Bot Garden, Santa Cruz, Bolivia.
Museo Hist Nat Noel Kempff Mercado, Santa Cruz, Bolivia.","","","","",13
"Aymard, Gerardo_2","WOS:000269577800006
","UNELLEZ Guanare, Guanare, Venezuela.","","","","",14
"Banki, Olaf_1","WOS:000269577800006
","Univ Utrecht, NL-3508 TC Utrecht, Netherlands.","","","","",15
"Blanc, Lilian_2","WOS:000269577800006
","UMR, Kourou, French Guiana.","","","","",16
"Bonal, Damien_2","WOS:000269577800006
","UMR, Kourou, French Guiana.","","","","",17
"Brando, P_1","WOS:000269577800006
","","","","","",18
"Chao, KJ_3","WOS:000269577800006
","","","","","",19
"Chave, Jerome_2","WOS:000269577800006
","","","","","",20
"Davila, Nallarett_2","WOS:000269577800006
","","","","","",21
"Erwin, Terry_1","WOS:000269577800006
","Smithsonian Inst, Washington, DC 20560 USA.","","","","",22
"Silva, Jaime_1","WOS:000269577800006
","Univ San Abad Cusco, Cuzco, Peru.","","","","",23
"Di Fiore, Anthony_2","WOS:000269577800006
","NYU, New York, NY USA.","","","","",24
"Feldpausch, TR_1","WOS:000269577800006
","","","","","",25
"Freitas, A_1","WOS:000269577800006
","Museu Paraense Emilio Goeldi, Belem, Para, Brazil.","","","","",26
"Herrera, R_1","WOS:000269577800006
","IVIC, Caracas, Venezuela.","","","","",27
"Higuchi, Niro_2","WOS:000269577800006
","Inst Natl Pesquisas Amazonia, Manaus, Amazonas, Brazil.","","","","",28
"Honorio, Euridice_1","WOS:000269577800006
","IIAP, Iquitos, Peru.","","","","",29
"Jimenez, E_1","WOS:000269577800006
","Univ Nacl Colombia, Leticia, Colombia.","","","","",30
"Killeen, Tim J._2","WOS:000269577800006
","Conservat Int, Washington, DC USA.","","","","",31
"Laurance, William F._2","WOS:000269577800006
","Smithsonian Trop Res Inst, Ancon, Panama.","","","","",32
"Mendoza, C_1","WOS:000269577800006
","Manejo Forestal Tierras Trop Bolivia, Fomabo, Sacta, Bolivia.","","","","",33
"Monteagudo, Abel_4","WOS:000269577800006
","Jardin Bot Missouri, Proyecto Flora Peru, Oxapampa, Peru.","","","","",34
"de Andrade, Ana Segalin_1","WOS:000269577800006
","INPA, Manaus, Amazonas, Brazil.","","","","",35
"Neill, David_3","WOS:000269577800006
","Fdn Jatun Sacha, Quito, Ecuador.
Missouri Bot Garden, Quito, Ecuador.","","","","",36
"Nepstad, D_1","WOS:000269577800006
","Woods Hole Res Ctr, Woods Hole, MA USA.","","","","",37
"Vargas, PN_11","WOS:000269577800006
","","","","","",38
"Penuela, MC_1","WOS:000269577800006
","","","","","",39
"Cruz, AP_2","WOS:000269577800006
","","","","","",40
"Prieto, Adriana_2","WOS:000269577800006
","Univ Nacl Colombia, Inst Ciencias Nat, Bogota, Colombia.","","","","",41
"Pitman, Nigel C. A._1","WOS:000269577800006
","Duke Univ, Ctr Trop Conservat, Durham, NC 27706 USA.","","","","",42
"Quesada, Carlos A._4","WOS:000269577800006
","","","","","",43
"Salomao, Rafael P._2","WOS:000269577800006
","","","","","",44
"Silveira, Marcos_4","WOS:000269577800006
","","","","","",45
"Schwarz, M_1","WOS:000269577800006
","","","","","",46
"Stropp, Juliana_2","WOS:000269577800006
","Univ Utrecht, NL-3508 TC Utrecht, Netherlands.","","","","",47
"Ramirez, Fredy_1","WOS:000269577800006
","Univ Nacl Amazonia Peruana, Iquitos, Peru.","","","","",48
"Ramirez, H_1","WOS:000269577800006
","Univ Los Andes, Merida, Venezuela.","","","","",49
"Rudas, Agustin_2","WOS:000269577800006
","Univ Nacl Colombia, Inst Ciencias Nat, Bogota, Colombia.","","","","",50
"ter Steege, Hans_3","WOS:000269577800006
","NHN Utrecht, Utrecht, Netherlands.","","","","",51
"Silva, N_2","WOS:000269577800006
","CIFOR, Tapajos, Brazil.
EMBRAPA Amazonia Oriental, Belem, Para, Brazil.","","","","",52
"Torres, A_1","WOS:000269577800006
","Univ Los Andes, Merida, Venezuela.","","","","",53
"Terborgh, John_4","WOS:000269577800006
","","","","","",54
"Vasquez, Rodolfo_4","WOS:000269577800006
","Jardin Bot Missouri, Proyecto Flora Peru, Oxapampa, Peru.","","","","",55
"van der Heijden, Geertje_3","WOS:000269577800006
","","","","","",56
